original,oa2df,comment
alternate_titles,alternate_titles,
cited_by_count,cited_by_count,
country_codes,country_codes,
counts_by_year,counts_by_year,
created_date,created_date,
display_name,display_name,
hierarchy_level,hierarchy_level,
homepage_url,homepage_url,
id,id,
ids.openalex,ids.openalex,
ids.ror,ids.ror,
ids.wikidata,ids.wikidata,
image_thumbnail_url,image_thumbnail_url,
image_url,image_url,
parent_publisher,parent_publisher,
sources_api_url,sources_api_url,
summary_stats.2yr_mean_citedness,summary_stats.2yr_mean_citedness,
summary_stats.h_index,summary_stats.h_index,
summary_stats.i10_index,summary_stats.i10_index,
works_count,works_count,
