original,oa2df,comment
associated_institutions,associated_institutions,
cited_by_count,cited_by_count,
country_code,country_code,
counts_by_year,counts_by_year,
created_date,created_date,
display_name,display_name,
display_name_acronyms,display_name_acronyms,
display_name_alternatives,display_name_alternatives,
geo.city,geo.city,
geo.country,geo.country,
geo.country_code,geo.country_code,
geo.geonames_city_id,geo.geonames_city_id,
geo.latitude,geo.latitude,
geo.longitude,geo.longitude,
geo.region,geo.region,
homepage_url,homepage_url,
id,id,
ids.grid,ids.grid,
ids.mag,ids.mag,
ids.openalex,ids.openalex,
ids.ror,ids.ror,
ids.wikidata,ids.wikidata,
ids.wikipedia,ids.wikipedia,
image_thumbnail_url,image_thumbnail_url,
image_url,image_url,
international.display_name.ar,international_display_name,
is_super_system,NA,
lineage,NA,
repositories,NA,
roles,NA,
ror,ror,
summary_stats.2yr_mean_citedness,summary_stats.2yr_mean_citedness,
summary_stats.h_index,summary_stats.h_index,
summary_stats.i10_index,summary_stats.i10_index,
topic_share,NA,
topics,topics,
type,type,
type_id,NA,
updated_date,updated_date,
works_api_url,works_api_url,
works_count,works_count,
