original,oa2df,comment
abstract_inverted_index,abstract,reconstructed from inverted index
abstract_inverted_index_v3,NA,
apc_list.currency,apc.currency,
apc_list.provenance,apc.provenance,
apc_list.value,apc.value,
apc_list.value_usd,apc.value_usd,
apc_paid.currency,apc.currency,
apc_paid.provenance,apc.provenance,
apc_paid.value,apc.value,
apc_paid.value_usd,apc.value_usd,
authorships,authorships,
best_oa_location,NA,
biblio.first_page,first_page,
biblio.issue,issue,
biblio.last_page,last_page,
biblio.volume,volume,
citation_normalized_percentile,NA,
cited_by_api_url,cited_by_api_url,
cited_by_count,cited_by_count,
cited_by_percentile_year,NA,
concepts,concepts,
corresponding_author_ids,NA,reconstructable from `author$is_corresponding`
corresponding_institution_ids,NA,reconstructable from `author$is_corresponding`
countries_distinct_count,NA,reconstructable from `author$institution_country_code`
counts_by_year,counts_by_year,
created_date,NA,
datasets,NA,
display_name,display_name,
doi,doi,
fwci,fwci,
fulltext_origin,NA,
grants,grants,
has_fulltext,NA,
id,id,
ids.doi,ids.doi,
ids.mag,ids.mag,
ids.openalex,ids.openalex,
ids.pmcid,ids.pmcid,
ids.pmid,ids.pmid,
indexed_in,NA,
institution_assertions,NA,
institutions_distinct_count,NA,reconstructable from `author$institution_id`
is_paratext,is_paratext,
is_retracted,is_retracted,
keywords,keywords,
language,language,
locations,NA,
locations_count,NA,
mesh,NA,
open_access.any_repository_has_fulltext,any_repository_has_fulltext,
open_access.is_oa,is_oa_anywhere,see PR #135
open_access.oa_status,oa_status,
open_access.oa_url,oa_url,
primary_location.is_accepted,NA,
primary_location.is_oa,is_oa,
primary_location.is_published,NA,
primary_location.landing_page_url,landing_page_url,
primary_location.license,license,
primary_location.license_id,NA,
primary_location.pdf_url,pdf_url,
primary_location.source.display_name,source_display_name,
primary_location.source.host_organization,host_organization,
primary_location.source.host_organization_lineage,NA,
primary_location.source.host_organization_lineage_names,NA,
primary_location.source.host_organization_name,host_organization_name,
primary_location.source.id,source_id,
primary_location.source.is_core,NA,
primary_location.source.is_in_doaj,NA,
primary_location.source.is_oa,NA,
primary_location.source.issn,NA,
primary_location.source.issn_l,issn_l,
primary_location.source.type,NA,
primary_location.version,version,
primary_topic,NA,first row of `topics`
publication_date,publication_date,
publication_year,publication_year,
referenced_works,referenced_works,
referenced_works_count,referenced_works_count,
related_works,related_works,
sustainable_development_goals,NA,
title,title,
topics,topics,
type,type,
type_crossref,NA,
updated_date,NA,
versions,NA,
