original,oa2df,comment
affiliations,NA,
cited_by_count,cited_by_count,
counts_by_year,counts_by_year,
created_date,NA,
display_name,display_name,
display_name_alternatives,display_name_alternatives,
id,id,
ids.openalex,ids.openalex,
ids.orcid,ids.orcid,
ids.scopus,ids.scopus,
last_known_institutions,last_known_institutions,
orcid,orcid,
summary_stats.2yr_mean_citedness,2yr_mean_citedness,
summary_stats.h_index,h_index,
summary_stats.i10_index,i10_index,
topic_share,NA,
topics,topics,
updated_date,NA,
works_api_url,works_api_url,
works_count,works_count,
x_concepts,NA,
