original,oa2df,comment
cited_by_count,cited_by_count,
created_date,created_date,
description,description,
display_name,display_name,
domain.display_name,domain_display_name,
domain.id,domain_id,
field.display_name,field_display_name,
field.id,field_id,
id,id,
ids.openalex,ids.openalex,
ids.wikipedia,ids.wikipedia,
keywords,keywords,
siblings,siblings,
subfield.display_name,subfield_display_name,
subfield.id,subfield_id,
updated_date,updated_date,
works_api_url,works_api_url,
works_count,works_count,
